id,name,current_date
1,TELECOMUNICACIONES E INFORMÁTICA,2025-03-31 06:52:27
2,DISEÑO Y GESTIÓN EN MODA,2025-03-31 06:52:27
3,MÚSICA CON MENCIÓN EN COMPOSICIÓN MUSICAL,2025-03-31 06:52:27
4,"AUDICIÓN, LENGUAJE Y APRENDIZAJE",2025-03-31 06:52:27
5,INGENIERÍA AGRONÓMICA TROPICAL,2025-03-31 06:52:27
6,LINGÜÍSTICA,2025-03-31 06:52:27
7,CIENCIAS EMPRESARIALES,2025-03-31 06:52:27
8,INGENIERÍA DE NEGOCIOS,2025-03-31 06:52:27
9,OTRAS CARRERAS DE EDUCACIÓN,2025-03-31 06:52:27
10,COMERCIO Y NEGOCIOS INTERNACIONALES,2025-03-31 06:52:27
11,ESTADÍSTICA E INFORMÁTICA,2025-03-31 06:52:27
12,GENÉTICA Y BIOTECNOLOGÍA,2025-03-31 06:52:27
13,INGENIERÍA DE LA PRODUCCIÓN E INDUSTRIALIZACIÓN DE RECURSOS HIDROBIOLÓGICOS,2025-03-31 06:52:27
14,DISEÑO INDUSTRIAL Y ARQUITECTÓNICO,2025-03-31 06:52:27
15,CIENCIAS BIOLÓGICAS,2025-03-31 06:52:27
16,COOPERATIVISMO,2025-03-31 06:52:27
17,TECNOLOGÍA DEL VESTIDO,2025-03-31 06:52:27
18,MATEMÁTICA E INFORMÁTICA,2025-03-31 06:52:27
19,GASTRONOMÍA Y ARTE CULINARIO,2025-03-31 06:52:27
20,CIENCIA POLÍTICA,2025-03-31 06:52:27
21,INGENIERÍA DE PETRÓLEO,2025-03-31 06:52:27
22,PUBLICIDAD,2025-03-31 06:52:27
23,"EDUCACIÓN SECUNDARIA - LENGUA, COMUNICACIÓN E IDIOMA INGLÉS",2025-03-31 06:52:27
24,CIENCIAS FORESTALES Y DEL AMBIENTE,2025-03-31 06:52:27
25,HISTORIA,2025-03-31 06:52:27
26,AGROINDUSTRIAS,2025-03-31 06:52:27
27,INGENIERÍA DE MINAS Y MAQUINARIA PESADA,2025-03-31 06:52:27
28,INGENIERÍA GEOGRÁFICA Y ECOLÓGICA,2025-03-31 06:52:27
29,TEATRO CON MENCIÓN EN ACTUACIÓN,2025-03-31 06:52:27
30,INGENIERÍA EN GESTIÓN EMPRESARIAL,2025-03-31 06:52:27
31,NUTRICIÓN,2025-03-31 06:52:27
32,TERAPIA OCUPACIONAL,2025-03-31 06:52:27
33,BROMATOLOGÍA Y NUTRICIÓN,2025-03-31 06:52:27
34,SOCIOLOGÍA,2025-03-31 06:52:27
35,BIOTECNOLOGÍA,2025-03-31 06:52:27
36,ARQUEOARQUITECTURA Y GESTIÓN TURÍSTICA,2025-03-31 06:52:27
37,INGENIERÍA AGROECOLÓGICA Y DESARROLLO RURAL,2025-03-31 06:52:27
38,ODONTOLOGÍA,2025-03-31 06:52:27
39,INGENIERÍA GEOLÓGICA,2025-03-31 06:52:27
40,LOGÍSTICA INTERNACIONAL,2025-03-31 06:52:27
41,GASTRONOMÍA Y GESTIÓN DE RESTAURANTES,2025-03-31 06:52:27
42,INGENIERÍA ESTADÍSTICA,2025-03-31 06:52:27
43,FÍSICA,2025-03-31 06:52:27
44,ECONOMÍA Y NEGOCIOS INTERNACIONALES,2025-03-31 06:52:27
45,INGENIERÍA ELÉCTRICA Y DE POTENCIA,2025-03-31 06:52:27
46,ECONOMÍA AGRARIA,2025-03-31 06:52:27
47,GEOGRAFÍA,2025-03-31 06:52:27
48,INGENIERÍA INFORMÁTICA Y ESTADÍSTICA,2025-03-31 06:52:27
49,ACUICULTURA,2025-03-31 06:52:27
50,ADMINISTRACIÓN Y NEGOCIOS DEL DEPORTE,2025-03-31 06:52:27
51,ARTES ESCÉNICAS Y LITERATURA,2025-03-31 06:52:27
52,COMPUTACIÓN CIENTÍFICA,2025-03-31 06:52:27
53,ESTUDIOS DE LENGUAJE Y CULTURA,2025-03-31 06:52:27
54,DIRECCIÓN DE ARTES GRÁFICAS Y PUBLICITARIAS,2025-03-31 06:52:27
55,INGENIERÍA AGROFORESTAL ACUÍCOLA,2025-03-31 06:52:27
56,COMUNICACIÓN E IDIOMA INGLÉS,2025-03-31 06:52:27
57,GESTIÓN AMBIENTAL EMPRESARIAL,2025-03-31 06:52:27
58,ARQUITECTURA DE INTERIORES,2025-03-31 06:52:27
59,CIENCIAS DE LA INFORMACIÓN,2025-03-31 06:52:27
60,EDUCACIÓN SECUNDARIA - RELIGIOSA Y CIENCIAS SOCIALES,2025-03-31 06:52:27
61,INGENIERÍA EN ENERGÍA,2025-03-31 06:52:27
62,DISEÑO GRÁFICO PUBLICITARIO,2025-03-31 06:52:27
63,INGENIERÍA AUTOMOTRIZ,2025-03-31 06:52:27
64,ARTE Y HUMANIDADES,2025-03-31 06:52:27
65,OTRAS CARRERAS DE ARTE,2025-03-31 06:52:27
66,INGENIERÍA FORESTAL Y DEL MEDIO AMBIENTE,2025-03-31 06:52:27
67,"EDUCACIÓN SECUNDARIA - MATEMÁTICA, FÍSICA E INFORMÁTICA",2025-03-31 06:52:27
68,INGENIERÍA AMBIENTAL Y DE PREVENCIÓN DE RIESGOS,2025-03-31 06:52:27
69,URBANISMO,2025-03-31 06:52:27
70,EDUCACIÓN SECUNDARIA - LENGUA LITERATURA Y GESTIÓN EDUCATIVA,2025-03-31 06:52:27
71,OTRAS CARRERAS DE EDUCACIÓN TECNOLÓGICA,2025-03-31 06:52:27
72,INGENIERÍA AGROFORESTAL,2025-03-31 06:52:27
73,COMERCIO EXTERIOR Y MARKETING INTERNACIONAL,2025-03-31 06:52:27
74,INTERPRETACIÓN MUSICAL,2025-03-31 06:52:27
75,CIENCIAS CONTABLES Y FINANCIERAS,2025-03-31 06:52:27
76,ARQUITECTURA Y TERRITORIO,2025-03-31 06:52:27
77,INGENIERÍA TOPOGRÁFICA Y AGRIMENSURA,2025-03-31 06:52:27
78,PERIODISMO ESCRITO,2025-03-31 06:52:27
79,PRODUCCIÓN MUSICAL,2025-03-31 06:52:27
80,CONTABILIDAD Y AUDITORIA,2025-03-31 06:52:27
81,EDUCACIÓN SECUNDARIA - BIOLOGÍA Y QUÍMICA,2025-03-31 06:52:27
82,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,2025-03-31 06:52:27
83,"NUTRICIÓN, SALUD Y TÉCNICAS ALIMENTARIAS",2025-03-31 06:52:27
84,INGENIERÍA DE TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN,2025-03-31 06:52:27
85,CONTABILIDAD ADMINISTRATIVA Y AUDITORIA,2025-03-31 06:52:27
86,GEOGRAFÍA Y MEDIO AMBIENTE,2025-03-31 06:52:27
87,"EDUCACIÓN SECUNDARIA - BIOLOGÍA, QUÍMICA Y TECNOLOGÍA DE LOS ALIMENTOS",2025-03-31 06:52:27
88,MECÁNICA DE PRODUCCIÓN,2025-03-31 06:52:27
89,EDUCACIÓN SECUNDARIA - CIENCIAS SOCIALES - FILOSOFÍA,2025-03-31 06:52:27
90,INGENIERÍA MECÁNICA ELÉCTRICA,2025-03-31 06:52:27
91,ADMINISTRACIÓN DE NEGOCIOS TURÍSTICOS,2025-03-31 06:52:27
92,CIENCIAS AERONÁUTICAS,2025-03-31 06:52:27
93,ESTUDIOS TEÓRICOS Y CRÍTICOS,2025-03-31 06:52:27
94,EDUCACIÓN SECUNDARIA - CIENCIAS NATURALES,2025-03-31 06:52:27
95,INGENIERÍA EMPRESARIAL Y DE SISTEMAS,2025-03-31 06:52:27
96,ECONOMÍA Y MICROFINANZAS,2025-03-31 06:52:27
97,ENFERMERÍA,2025-03-31 06:52:27
98,DISEÑO INDUSTRIAL,2025-03-31 06:52:27
99,INGENIERÍA DE SISTEMAS DE INFORMACIÓN,2025-03-31 06:52:27
100,INGENIERÍA INDUSTRIAL Y DE GESTIÓN EMPRESARIAL,2025-03-31 06:52:27
101,INGENIERÍA MECÁNICA DE FLUIDOS,2025-03-31 06:52:27
102,LABORATORIO Y ANATOMÍA PATOLÓGICA,2025-03-31 06:52:27
103,INGENIERÍA ECOTURISMO,2025-03-31 06:52:27
104,CIENCIAS DE LA COMUNICACIÓN SOCIAL,2025-03-31 06:52:27
105,ARQUEOLOGÍA,2025-03-31 06:52:27
106,CONTABILIDAD Y ADMINISTRACIÓN,2025-03-31 06:52:27
107,ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS,2025-03-31 06:52:27
108,MARKETING Y NEGOCIOS INTERNACIONALES,2025-03-31 06:52:27
109,INGENIERÍA EN TELECOMUNICACIONES Y TELEMÁTICA,2025-03-31 06:52:27
110,LITERATURA Y LINGÜÍSTICA,2025-03-31 06:52:27
111,OPTOMETRÍA,2025-03-31 06:52:27
112,ELECTRÓNICA E INFORMÁTICA,2025-03-31 06:52:27
