offer_id,career_id,current_date
1,240,2025-03-31 07:01:52
2,329,2025-03-31 07:02:09
3,429,2025-03-31 07:02:25
3,266,2025-03-31 07:02:25
3,230,2025-03-31 07:02:25
3,201,2025-03-31 07:02:26
4,429,2025-03-31 07:02:40
4,230,2025-03-31 07:02:40
4,240,2025-03-31 07:02:40
4,252,2025-03-31 07:02:40
5,429,2025-03-31 07:02:55
5,254,2025-03-31 07:02:55
5,230,2025-03-31 07:02:55
5,204,2025-03-31 07:02:55
6,429,2025-03-31 07:03:07
6,240,2025-03-31 07:03:07
7,122,2025-03-31 07:03:19
7,361,2025-03-31 07:03:20
7,22,2025-03-31 07:03:20
8,416,2025-03-31 07:03:37
8,452,2025-03-31 07:03:37
9,240,2025-03-31 07:03:51
10,429,2025-03-31 07:04:08
10,230,2025-03-31 07:04:08
10,252,2025-03-31 07:04:08
10,202,2025-03-31 07:04:08
10,124,2025-03-31 07:04:08
11,240,2025-03-31 07:04:23
12,240,2025-03-31 07:04:34
13,240,2025-03-31 07:04:46
14,429,2025-03-31 07:04:58
15,240,2025-03-31 07:05:10
16,240,2025-03-31 07:05:22
17,240,2025-03-31 07:05:34
18,429,2025-03-31 07:05:48
18,240,2025-03-31 07:05:48
18,252,2025-03-31 07:05:49
19,240,2025-03-31 07:06:03
20,240,2025-03-31 07:06:17
21,240,2025-03-31 07:06:31
22,240,2025-03-31 07:06:45
23,240,2025-03-31 07:06:59
24,429,2025-03-31 07:07:11
24,240,2025-03-31 07:07:11
25,104,2025-03-31 07:07:23
26,240,2025-03-31 07:07:35
27,240,2025-03-31 07:07:47
28,429,2025-03-31 07:07:59
29,133,2025-03-31 07:08:10
30,104,2025-03-31 07:08:22
31,429,2025-03-31 07:08:34
31,230,2025-03-31 07:08:34
31,252,2025-03-31 07:08:34
32,252,2025-03-31 07:08:46
33,429,2025-03-31 07:08:58
34,452,2025-03-31 07:09:10
35,429,2025-03-31 07:09:22
35,230,2025-03-31 07:09:22
35,240,2025-03-31 07:09:23
35,252,2025-03-31 07:09:23
36,230,2025-03-31 07:09:35
37,240,2025-03-31 07:09:47
38,240,2025-03-31 07:09:59
39,429,2025-03-31 07:10:15
39,124,2025-03-31 07:10:16
40,429,2025-03-31 07:10:27
41,429,2025-03-31 07:10:39
41,230,2025-03-31 07:10:39
42,240,2025-03-31 07:10:51
43,460,2025-03-31 07:11:05
44,240,2025-03-31 07:11:17
45,240,2025-03-31 07:11:31
47,240,2025-03-31 07:13:09
48,460,2025-03-31 07:13:21
50,240,2025-03-31 16:46:21
51,429,2025-03-31 16:46:34
51,230,2025-03-31 16:46:35
51,252,2025-03-31 16:46:35
52,240,2025-03-31 16:46:48
53,240,2025-03-31 16:47:03
54,124,2025-03-31 16:47:16
54,443,2025-03-31 16:47:16
54,204,2025-03-31 16:47:16
55,429,2025-03-31 16:47:29
56,252,2025-03-31 16:47:42
57,204,2025-03-31 16:47:58
58,429,2025-03-31 16:48:11
59,240,2025-03-31 16:48:24
60,240,2025-03-31 16:48:37
61,240,2025-03-31 16:48:50
62,133,2025-03-31 16:49:03
63,452,2025-03-31 16:49:16
64,120,2025-03-31 16:49:29
65,460,2025-03-31 16:49:42
66,34,2025-03-31 16:49:55
67,429,2025-03-31 16:50:08
67,252,2025-03-31 16:50:08
68,240,2025-03-31 16:50:21
69,124,2025-03-31 16:50:34
70,122,2025-03-31 16:50:50
71,120,2025-03-31 16:51:03
72,240,2025-03-31 16:51:18
73,240,2025-03-31 16:51:34
74,34,2025-03-31 16:51:47
75,460,2025-03-31 16:52:00
76,252,2025-03-31 16:52:13
77,429,2025-03-31 16:52:26
79,520,2025-03-31 16:52:57
80,252,2025-03-31 16:53:10
81,240,2025-03-31 16:53:24
82,240,2025-03-31 16:53:37
83,240,2025-03-31 16:53:50
84,252,2025-03-31 16:54:04
85,252,2025-03-31 16:54:17
86,204,2025-03-31 16:54:30
87,240,2025-03-31 16:54:44
88,429,2025-03-31 16:54:57
88,240,2025-03-31 16:54:57
89,460,2025-03-31 16:55:10
90,452,2025-03-31 16:55:26
91,452,2025-03-31 16:55:39
92,124,2025-03-31 16:55:55
93,429,2025-03-31 16:56:08
93,230,2025-03-31 16:56:08
93,252,2025-03-31 16:56:08
94,230,2025-03-31 16:56:22
95,254,2025-03-31 16:56:35
95,124,2025-03-31 16:56:35
96,240,2025-03-31 16:56:48
