id,name,current_date
1,ICA,2025-03-31 07:01:40
2,LIMA,2025-03-31 07:01:57
3,CALLAO,2025-03-31 07:02:13
4,HUÁNUCO,2025-03-31 07:03:25
5,TACNA,2025-03-31 07:03:56
6,SAN MARTÍN,2025-03-31 07:05:39
7,PUNO,2025-03-31 07:05:54
8,PIURA,2025-03-31 07:06:08
9,LA LIBERTAD,2025-03-31 07:06:22
10,AYACUCHO,2025-03-31 07:10:04
11,ANCASH,2025-03-31 07:11:22
12,CUSCO,2025-03-31 16:51:08
13,CAJAMARCA,2025-03-31 17:00:16
14,LAMBAYEQUE,2025-03-31 17:07:56
15,LORETO,2025-03-31 17:08:52
16,JUNÍN,2025-03-31 17:13:42
17,MADRE DE DIOS,2025-03-31 17:24:20
18,TUMBES,2025-03-31 17:41:34
19,MOQUEGUA,2025-04-03 08:00:30
20,HUANCAVELICA,2025-04-03 08:00:37
21,APURÍMAC,2025-04-08 08:00:40
22,UCAYALI,2025-04-09 08:00:34
23,AREQUIPA,2025-04-09 08:00:36
25,AMAZONAS,2025-04-15 08:00:36
26,PASCO,2025-04-30 08:00:30
