id,offer_page_code,offer_title,vacants,type,to_apply,organization_id,specific_requirements,knowledge,salary,responsabilities,specific_location,city_id,end_date,url,current_date,active
1,478022,Practicante de Derecho,2.0,PROFESIONAL,Egresado/a de la Carrera profesional universitario de Derecho,1,,"Derechos Humanos.
Derecho Constitucional.
Derecho Administrativo.
Gestión Pública.
Facultades y mandatos de la Defensoría del Pueblo.",1300.0,,Oficina Defensorial de Ica Dirección: Av. Cutervo Oeste n° 469 Urb. San Isidro Ica.,1,2025-04-10,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-defensoria-del-pueblo-derecho-abril-2025-478022.html,2025-03-31 07:01:49,0
2,473123,Practicante de Psicología,,,Egresado o Bachiller (no titulado),2,,"Excel intermedio - avanzado.
Técnicas de reclutamiento y selección.
Manejo de Plataformas ATS.
Gestión de documentación masiva.",,,Presencial - San Borja -Lima,2,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-banco-nacion-psicologia-marzo-2025-473123.html,2025-03-31 07:02:06,0
3,472737,"Practicante de Administración, Contabilidad, Ingenieria Administrativa",2.0,PRE-PROFESIONAL,"Estudiante universitario de las carreras de Administración, Contabilidad, Ingenieria Administrativa, Administración Pública",3,,,1130.0,"Apoyar al seguimiento de cotizaciones a los diversos proveedores para la atención de requerimientos.
Proyectar documentos que indiquen el supervisor o coordinador del área.
Apoyar en la revisión de los informes solicitados por las áreas funcionales de la APN.
Apoyar en la elaboración de actas y acuerdos realizados en las reuniones.
Otras actividades formativas asignadas por el Supervisor designado.","Av. Santa Rosa 135, La Perla, Callao.",3,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-autoridad-portuaria-apn-administracion-contabilidad-marzo-2025-472737.html,2025-03-31 07:02:23,0
4,472498,"Practicante de Administración, Contabilidad, Economía, Derecho",1.0,PROFESIONAL,Egresado Universitario en Administración y/o Contabilidad y/o Economía y/o Derecho,4,,,1130.0,"Apoyar en la revisión y evaluación de expedientes administrativos.
Apoyar en la verificación de la información para la elaboración de proyectos de informes y memorándums.
Apoyar en la revisión de expedientes para trámite de pago.
Apoyar con la revisión de los expedientes de los contratos para envió al archivo central.
Otras actividades que le encargue su supervisor de prácticas.",Sede Central de PROVIAS NACIONAL,2,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-provias-nacional-administracion-contabilidad-economia-derecho-marzo-2025-472498.html,2025-03-31 07:02:37,0
5,472027,"Practicante de Secretariado, Administración, Contabilidad, Computación e Informática",1.0,PROFESIONAL,"Egresado de la Carrera técnica en secretariado, administración, contabilidad, computación e informática o profesional en administración o profesional en administración o ingeniería industrial",5,,,1130.0,"Apoyo en las actividades de implementación del procedimiento de digitación de títulos.
Apoyo en gestión documental administrativas.
Otros",Oficina Registral de Ica Av. Las Américas N° 790 - Pisco - Ica,1,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-sunarp-secretariado-administracion-contabilidad-computacion-informatica-marzo-2025-472027.html,2025-03-31 07:02:52,0
6,472026,"Practicante de Secretariado, Administración, Derecho",1.0,PROFESIONAL,"Egresado de la carrera técnica en Secretariado, Administración o carrera profesional en Administración o Derecho",5,,,1130.0,"Apoyo en las actividades de implementación del procedimiento de digitación de títulos.
Apoyo en gestión documental administrativas.
Otros","Oficina Registral de Ica Av. Matías Manzanilla N° 562, Urb. San Miguel - Ica",1,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-sunarp-secretariado-administracion-derecho-marzo-2025-472026.html,2025-03-31 07:03:05,0
7,471654,"Practicante de Marketing, Publicidad, Ciencias de la Comunicación",,,Egresado o Bachiller (no titulado),2,,"Excel intermedio - avanzado
Marketing digital(Google Ads, Meta Bussines Suite, SEO/SEM).
Redacción creativa para campañas publicitarias
Lectura de métricas de rendimiento de campañas publicitarias(Google analytics, Hootsuite, otros).",,,Presencial - San Borja -Lima,2,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-banco-nacion-marketing-publicidad-ciencias-comunicacion-marzo-2025-471654.html,2025-03-31 07:03:17,0
8,477535,"Practicante de Ingeniería Ambiental, Ingeniería Agroindustrial, Ingeniería Agropecuaria",2.0,PROFESIONAL,"Egresado/a de carrera universitaria y/o técnico en Ingeniería Ambiental, Agroindustrial o Agropecuaria",6,,Conocimiento Básico en manejo de Ofimática.,1130.0,,"Unidad de Gestión Educativa Local Lauricocha, Sede de la UGEL Lauricocha - Oficina de Dirección.",4,2025-04-09,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-ugel-lauricocha-ingenieria-ambiental-agroindustrial-abril-2025-477535.html,2025-03-31 07:03:34,0
9,475736,Practicante de Derecho,1.0,PRE-PROFESIONAL,Estudiante universitario de la carrera de Derecho. (Estar en los dos últimos años de estudios),7,,"Procesador de textos (Word, Open Office Write, etc.) a nivel básico.
Hoja de cálculo (Excel, OpeCalc, etc.) a nivel básico.
Programa de presentaciones (Power Point, Prezi, etc.) a nivel básico.",1130.0,,"Sede Central de OEFA - Lima, Av. Faustino Sánchez Carrión 603 - Jesús María",2,2025-04-07,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-oefa-derecho-abril-2025-475736.html,2025-03-31 07:03:49,0
10,474343,"Practicante de Ingeniería Comercial, Ingeniería de Sistemas, Contabilidad, Economía, Administración",1.0,PROFESIONAL,"Egresado en las carreras profesionales de Ingeniería Comercial, Ingeniería de Sistemas, Contabilidad, Economía o Administración",8,,,1130.0,Apoyo en las activiades o funciones de la Oficina de Planeamiento y Presupuesto.,"Carretera Panamericana Sur Km. 1308 - Oficinas de ZOFRATACNA - ubicadas en el Terminal Terrestre ""Manuel A. Odría"" y Aeropuerto ""Crnl. FAP Carlos Ciriani Santa Rosa"".",5,2025-04-02,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-zofratacna-ingenieria-comercial-sistemas-contabilidad-abril-2025-474343.html,2025-03-31 07:04:05,0
11,474333,Practicante de Derecho,1.0,PROFESIONAL,Egresado(a) Universitario(a) de la Carrera de Derecho,9,,"Procesador de Textos, Hojas de Cálculo y Programa de Presentaciones a Nivel Básico.",1095.0,,"Av. Del Aire N° 384, San Borja - Lima - Perú - Sala Especializada en Protección al Consumidor",2,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-indecopi-derecho-abril-2025-474333.html,2025-03-31 07:04:20,0
12,474332,Practicante de Derecho,2.0,PROFESIONAL,Egresado(a) Universitario(a) de la Carrera de Derecho,9,,"Procesador de Textos, Hojas de Cálculo y Programa de Presentaciones a Nivel Básico.",1095.0,,"Av. Del Aire N° 384, San Borja - Lima - Perú - Sala Especializada en Eliminación de Barreras Burocráticas",2,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-indecopi-derecho-abril-2025-474332.html,2025-03-31 07:04:32,0
13,474330,Practicante de Derecho,3.0,PROFESIONAL,Egresado(a) Universitario(a) de la Carrera de Derecho,9,,"Procesador de Textos, Hojas de Cálculo y Programa de Presentaciones a Nivel Básico.",1095.0,,"Av. Del Aire N° 384, San Borja - Lima- Perú - Sala de Propiedad Intelectual",2,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-indecopi-derecho-abril-2025-474330.html,2025-03-31 07:04:44,0
14,474329,Practicante de Administración,1.0,PROFESIONAL,Egresado(a) Universitario(a) de la carrera de Administración,9,,"Atención al cliente.
Procesador de Textos, Hojas de Cálculo y Programa de Presentaciones a Nivel Básico.",1095.0,,"Av. Del Aire N° 384, San Borja - Lima - Perú - Sub Dirección de Atención al Ciudadano",2,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-indecopi-administracion-abril-2025-474329.html,2025-03-31 07:04:56,0
15,474328,Practicante de Derecho,1.0,PROFESIONAL,Egresado(a) Universitario(a) de la Carrera de Derecho o afines,9,,"Derecho administrativo o Derecho Procesal Civil o Derecho de las Obligaciones o Contratos o Análisis Económico del Derecho o Derecho de la Competencia.
Procesador de Textos, Hojas de Cálculo y Programa de Presentaciones a Nivel Básico.",1095.0,,"Av. Del Aire N° 384, San Borja - Lima - Perú - Secretaría Técnica de Fiscalización, Adscrita a la Comisión de Procedimientos Concursales",2,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-indecopi-derecho-abril-2025-474328.html,2025-03-31 07:05:08,0
16,474325,Practicante de Derecho,2.0,PROFESIONAL,Egresado(a) Universitario(a) de la Carrera de Derecho o afines,9,,"Procesador de Textos, Hojas de Cálculo y Programa de Presentaciones a Nivel Básico.",1095.0,,"Av. Del Aire N° 384, San Borja - Lima - Perú - Órgano Resolutivo de Procedimientos Sumarísimos de Protección al Consumidor N° 3",2,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-indecopi-derecho-abril-2025-474325.html,2025-03-31 07:05:20,0
17,474322,Practicante de Derecho,1.0,PROFESIONAL,Egresado(a) Universitario(a) de la Carrera de Derecho o afines,9,,"Procesador de Textos, Hojas de Cálculo y Programa de Presentaciones a Nivel Básico.",1095.0,,"Av. Del Aire N° 384, San Borja - Lima - Perú - Órgano Resolutivo de Procedimientos Sumarísimos de Protección al Consumidor N° 2",2,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-indecopi-derecho-abril-2025-474322.html,2025-03-31 07:05:32,0
18,474316,"Practicante de Derecho, Economía, Administración",1.0,PROFESIONAL,Egresado(a) Universitario(a) de la Carrera de Derecho o Economía o Administración,9,,"Procesador de Textos, Hojas de Cálculo y Programa de Presentaciones a Nivel Básico.",1095.0,,"Jr. Antonio Raymondi 328, Tarapoto - Perú - ORI SAN MARTIN",6,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-indecopi-derecho-economia-administracion-abril-2025-474316.html,2025-03-31 07:05:46,0
19,474312,Practicante de Derecho,1.0,PROFESIONAL,Egresado(a) Universitario(a) de la Carrera de Derecho,9,,"Procesador de Textos, Hojas de Cálculo y Programa de Presentaciones a Nivel Básico.",1095.0,,"Jr. Áncash No.146, Puno - Perú - ORI PUNO",7,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-indecopi-derecho-abril-2025-474312.html,2025-03-31 07:06:01,0
20,474308,Practicante de Derecho,1.0,PROFESIONAL,Egresado(a) Universitario(a) de la Carrera de Derecho,9,,"Procesador de Textos, Hojas de Cálculo y Programa de Presentaciones a Nivel Básico.",1095.0,,"Av. Los Cocos 181-183, Mz. B, Lote 3; Urb. Club Grau - Piura - Perú - ORI PIURA",8,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-indecopi-derecho-abril-2025-474308.html,2025-03-31 07:06:15,0
21,474302,Practicante de Derecho,1.0,PROFESIONAL,Egresado(a) Universitario(a) de la Carrera de Derecho,9,,"Procesador de Textos, Hojas de Cálculo y Programa de Presentaciones a Nivel Básico.",1095.0,,"Calle Santo Toribio de Mogrovejo No. 518, Urb. San Andrés II etapa - Trujillo - Perú - ORI LA LIBERTAD",9,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-indecopi-derecho-abril-2025-474302.html,2025-03-31 07:06:29,0
22,473782,Practicante de Derecho,2.0,PROFESIONAL,Universitario Egresado en Derecho hasta 2 años posteriores de egreso,10,Constancia o Diploma de egreso u otro documento emitido por el Centro de Estudios donde se acredite la condición de egresado del postulante,,1130.0,,OFICINA DE PROCURADURIA PUBLICA REGIONAL,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-derecho-abril-2025-473782.html,2025-03-31 07:06:43,0
23,476929,Practicante de Derecho,1.0,PROFESIONAL,Egresado de la carrera universitaria de Derecho,11,,,1130.0,"Apoyar en la recepción clasificación, registro, distribución, y archivo de documentos técnicos
Apoyar en la emisión de informes técnicos propios del área donde desarrolle sus prácticas.
Apoyar en el archivo de los documentos ingresados al área en el que realice sus prácticas
Apoyo en las acciones encomendadas por el responsable de la Oficina donde desarrolle sus prácticas.",DIRECCIÓN DE GESTIÓN ADMINISTRATIVA - OFICINA DE PERSONAL,4,2025-04-09,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-ugel-huanuco-derecho-abril-2025-476929.html,2025-03-31 07:06:57,0
24,473761,"Practicante de Administración, Derecho",1.0,PROFESIONAL,Universitario Egresado en Administración y/ Derecho hasta 2 años posteriores de egreso,10,Constancia o Diploma de egreso u otro documento emitido por el Centro de Estudios donde se acredite la condición de egresado del postulante.,,1130.0,,GOBIERNO REGIONAL DE HUANUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-administracion-derecho-abril-2025-473761.html,2025-03-31 07:07:09,0
25,473776,Practicante de Ciencias de la Comunicación Social,1.0,PRE-PROFESIONAL,Estudiante Universitario en Ciencias de la Comunicación Social de los últimos 02 años,10,Carta de Presentación del Centro de estudios señalando el ciclo de estudios.,,1130.0,,GOBIERNO REGIONAL DE HUANUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-ciencias-comunicacion-social-abril-2025-473776.html,2025-03-31 07:07:21,0
26,473771,Practicante de Derecho,1.0,PRE-PROFESIONAL,Estudiante Universitario en Derecho de los últimos 02 años,10,Carta de Presentación del Centro de estudios señalando el ciclo de estudios.,,1130.0,,GOBIERNO REGIONAL DE HUANUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-derecho-abril-2025-473771.html,2025-03-31 07:07:33,0
27,476933,Practicante de Derecho,1.0,PRE-PROFESIONAL,Estudiante Universitario de los últimos ciclos de la carrera profesional de Derecho,11,,,1130.0,"Apoyar en la recepción clasificación, registro, distribución, y archivo de documentos técnicos
Apoyar en la emisión de informes técnicos propios del área donde desarrolle sus prácticas.
Apoyar en el archivo de los documentos ingresados al área en el que realice sus prácticas
Apoyo en las acciones encomendadas por el responsable de la Oficina donde desarrolle sus prácticas.",DIRECCIÓN - SECRETARIA GENERAL,4,2025-04-09,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-ugel-huanuco-derecho-abril-2025-476933.html,2025-03-31 07:07:44,0
28,473769,Practicante de Administración,1.0,PROFESIONAL,Egresado en Administración y/o Técnico en Administración hasta 2 años posteriores de egreso,10,Constancia o Diploma de egreso u otro documento emitido por el Centro de Estudios donde se acredite la condición de egresado del postulante.,,1130.0,,GOBIERNO REGIONAL DE HUANUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-administracion-abril-2025-473769.html,2025-03-31 07:07:56,0
29,473765,"Practicante de Diseño Gráfico, Producción Audiovisual",3.0,PROFESIONAL,Técnico Egresado en Diseño Gráfico y/o Producción Audiovisual hasta 2 años posteriores de egreso,10,Constancia o Diploma de egreso u otro documento emitido por el Centro de Estudios donde se acredite la condición de egresado del postulante.,,1130.0,,GOBIERNO REGIONAL DE HUANUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-diseno-grafico-produccion-audiovisual-abril-2025-473765.html,2025-03-31 07:08:08,0
30,473764,Practicante de Ciencias de la Comunicación Social,4.0,PROFESIONAL,Universitario Egresado en Ciencias de la Comunicación Social/ hasta 2 años posteriores de egreso,10,Constancia o Diploma de egreso u otro documento emitido por el Centro de Estudios donde se acredite la condición de egresado del postulante.,,1130.0,,GOBIERNO REGIONAL DE HUANUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-ciencias-comunicacion-social-abril-2025-473764.html,2025-03-31 07:08:20,0
31,477537,"Practicante de Administración, Contabilidad, Economía",1.0,PROFESIONAL,"Egresado/a de carrera universitaria y/o técnico en Administración, Contabilidad, Economía",6,,Conocimiento Básico en manejo de Ofimática.,1130.0,,"Unidad de Gestión Educativa Local Lauricocha, Sede de la UGEL Lauricocha - Oficina de Patrimonio.",4,2025-04-09,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-ugel-lauricocha-administracion-contabilidad-economia-abril-2025-477537.html,2025-03-31 07:08:32,0
32,473750,Practicante de Economía,1.0,PROFESIONAL,Universitario Egresado en Economía hasta 2 años posteriores de egreso,10,Constancia o Diploma de egreso u otro documento emitido por el Centro de Estudios donde se acredite la condición de egresado del postulante.,,1130.0,,GOBIERNO REGIONAL DE HUANUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-economia-abril-2025-473750.html,2025-03-31 07:08:44,0
33,473749,Practicante de Administración,1.0,PROFESIONAL,Universitario Egresado en Administración hasta 2 años posteriores de egreso,10,Constancia o Diploma de egreso u otro documento emitido por el Centro de Estudios donde se acredite la condición de egresado del postulante.,,1130.0,,GOBIERNO REGIONAL DE HUANUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-administracion-abril-2025-473749.html,2025-03-31 07:08:56,0
34,473837,Practicante de Ingeniería Ambiental,1.0,PROFESIONAL,Universitario Egresado en Ingeniería Ambiental hasta 2 años posteriores de egreso,10,Constancia o Diploma de egreso u otro documento emitido por el Centro de Estudios donde se acredite la condición de egresado del postulante.,,1130.0,,GOBIERNO REGIONAL DE HUÁNUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-ingenieria-ambiental-abril-2025-473837.html,2025-03-31 07:09:08,0
35,473833,"Practicante de Administración, Economía, Contabilidad, Derecho",7.0,PROFESIONAL,"Universitario Egresado en Administración, Economía, Contabilidad y/o Derecho hasta 2 años posteriores de egreso",10,Constancia o Diploma de egreso u otro documento emitido por el Centro de Estudios donde se acredite la condición de egresado del postulante.,,1130.0,,GOBIERNO REGIONAL DE HUÁNUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-administracion-economia-contabilidad-derecho-abril-2025-473833.html,2025-03-31 07:09:20,0
36,473831,Practicante de Contabilidad,1.0,PROFESIONAL,Egresado Universitario de Contabilidad hasta 2 años posteriores de egreso,10,Constancia o Diploma de egreso u otro documento emitido por el Centro de Estudios donde se acredite la condición de egresado del postulante.,,1130.0,,CONSEJO REGIONAL DE HUÁNUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-contabilidad-abril-2025-473831.html,2025-03-31 07:09:33,0
37,473829,Practicante de Derecho,1.0,PROFESIONAL,Egresado Universitario de Derecho hasta 2 años posteriores de egreso,10,Constancia o Diploma de egreso u otro documento emitido por el Centro de Estudios donde se acredite la condición de egresado del postulante.,,1130.0,,CONSEJO REGIONAL DE HUÁNUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-derecho-abril-2025-473829.html,2025-03-31 07:09:44,0
38,473826,Practicante de Derecho,1.0,PROFESIONAL,Egresado Universitario de Derecho hasta 2 años posteriores de egreso,10,Constancia o Diploma de egreso u otro documento emitido por el Centro de Estudios donde se acredite la condición de egresado del postulante.,,1130.0,,CONSEJO REGIONAL DE HUÁNUCO,4,2025-04-01,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-gobierno-regional-huanuco-derecho-abril-2025-473826.html,2025-03-31 07:09:56,0
39,478150,"Practicante de Administración, Ingeniería de Sistemas",1.0,PROFESIONAL,Egresado Universitario en la especialidad de Administración y/o Ingeniería de Sistemas,12,,"Puntualidad, creatividad, responsabilidad, iniciativa, orden, proactividad y vocación de servicio, Capacidad de resolver problemas",1130.0,"Apoyar en la proyección de documentos y gestión documental de Mesa de partes UNSCH.
Apoyar en la búsqueda y obtención de información de interés para el cumplimiento de las funciones de la dependencia.
Apoyar en la proyección de resoluciones.
Otras actividades que le sean asignadas por el jefe inmediato relacionadas a su formación.","Facultad de Ingeniería de Minas, Geología y Civil de la Universidad Nacional de San Cristóbal de Huamanga",10,2025-04-02,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-universidad-san-cristobal-huamanga-administracion-ingenieria-sistemas-abril-2025-478150.html,2025-03-31 07:10:13,0
