id,name,current_date
1,DEFENSORIA DEL PUEBLO,2025-03-31 07:01:45
2,BANCO DE LA NACIÓN,2025-03-31 07:02:01
3,AUTORIDAD PORTUARIA(APN),2025-03-31 07:02:18
4,PROVIAS NACIONAL,2025-03-31 07:02:33
5,SUNARP,2025-03-31 07:02:47
6,UGEL LAURICOCHA,2025-03-31 07:03:30
7,OEFA,2025-03-31 07:03:44
8,ZOFRATACNA,2025-03-31 07:04:01
9,INDECOPI,2025-03-31 07:04:16
10,GOBIERNO REGIONAL DE HUÁNUCO,2025-03-31 07:06:38
11,UGEL HUÁNUCO,2025-03-31 07:06:52
12,UNIVERSIDAD SAN CRISTÓBAL DE HUAMANGA,2025-03-31 07:10:08
13,SUTRAN,2025-03-31 16:46:14
14,MINISTERIO DE ECONOMÍA (MEF),2025-03-31 16:46:56
15,ACADEMIA DE LA MAGISTRATURA(AMAG),2025-03-31 16:50:42
16,TRIBUNAL CONSTITUCIONAL(TC),2025-03-31 16:51:26
17,SENCICO,2025-03-31 17:02:18
18,MUNICIPALIDAD DE CANGALLO,2025-03-31 17:03:16
19,OSINFOR,2025-03-31 17:08:57
20,INAIGEM,2025-03-31 17:10:05
21,MUNICIPALIDAD DE JESÚS MARÍA,2025-03-31 17:10:47
22,DIRECCIÓN REGIONAL SALUD(DIRESA) HUÁNUCO,2025-03-31 17:16:52
23,SAT TRUJILLO,2025-03-31 17:20:39
24,SUNASS,2025-03-31 17:20:55
25,MINISTERIO DE COMERCIO (MINCETUR),2025-03-31 17:21:37
26,MINISTERIO DE LA PRODUCCIÓN (PRODUCE),2025-03-31 17:23:54
27,APCI,2025-03-31 17:24:38
28,EGEMSA,2025-03-31 17:27:33
29,MUNICIPALIDAD DE MIRAFLORES,2025-03-31 17:28:30
30,AUTORIDAD PORTUARIA NACIONAL (APN),2025-03-31 17:34:19
31,MINISTERIO DE LA MUJER (MIMP),2025-03-31 17:34:35
32,MUNICIPALIDAD DE ILABAYA,2025-03-31 17:35:04
33,MINISTERIO DE TRABAJO (MTPE),2025-03-31 17:35:47
34,UGEL 5,2025-03-31 17:36:18
35,MUNICIPALIDAD DE BELLAVISTA,2025-03-31 17:38:07
36,CONADIS,2025-03-31 17:41:08
37,MARINA DE GUERRA,2025-03-31 17:44:38
38,MINISTERIO DE CULTURA,2025-04-01 00:04:23
39,SAT LIMA,2025-04-01 00:21:45
40,SAN GABÁN S.A.,2025-04-01 00:24:04
41,JUNTOS,2025-04-02 08:00:30
42,MUNICIPALIDAD DE SAN MIGUEL,2025-04-02 08:00:31
43,SERVIR,2025-04-02 08:00:32
44,UNIVERSIDAD NACIONAL DE MOQUEGUA,2025-04-03 08:00:30
45,PROVIAS DESCENTRALIZADO,2025-04-03 08:00:35
46,INSTITUTO DE CALIDAD(INACAL),2025-04-03 08:00:36
47,IRTP,2025-04-03 08:00:39
48,GOBIERNO REGIONAL DE TACNA,2025-04-04 08:00:35
49,GOBIERNO REGIONAL CAJAMARCA,2025-04-04 08:00:35
50,DIRECCION DE EDUCACION(DRE) CALLAO,2025-04-04 08:00:36
51,OSCE,2025-04-04 08:00:37
52,UGEL 305 HUAMALIES,2025-04-04 08:00:37
53,UGEL YAROWILCA,2025-04-04 08:00:41
54,DIRECCIÓN AGRARIA HUANCAVELICA,2025-04-05 08:00:36
55,CUNA MAS,2025-04-05 08:00:36
56,PROYECTO OLMOS TINAJONES,2025-04-05 08:00:36
57,SUNEDU,2025-04-05 08:00:37
58,SUSALUD,2025-04-05 08:00:38
59,ELECTRO PUNO,2025-04-05 08:00:39
60,MUNICIPALIDAD ALBARRACÍN,2025-04-06 08:00:21
61,PROINVERSIÓN,2025-04-06 08:00:22
62,MUNICIPALIDAD DE TACNA,2025-04-06 08:00:22
63,OSIPTEL,2025-04-08 08:00:37
64,PROYECTO ESPECIAL TACNA,2025-04-08 08:00:38
65,UGEL DOS DE MAYO,2025-04-09 08:00:34
