,id_c,offer_page_code,offer_title,vacants,type,to_apply,organization_id,specific_requirements,knowledge,salary,responsabilities,specific_location,city_id,end_date,url,current_date_e,active,offer_id,career_id,current_date_a,id_d,name_e,current_date_b,id_g,name_f,current_date_f,id_h,name,current_date
0,1,478022,Practicante de Derecho,2.0,PROFESIONAL,Egresado/a de la Carrera profesional universitario de Derecho,1,,"Derechos Humanos.
Derecho Constitucional.
Derecho Administrativo.
Gestión Pública.
Facultades y mandatos de la Defensoría del Pueblo.",1300.0,,Oficina Defensorial de Ica Dirección: Av. Cutervo Oeste n° 469 Urb. San Isidro Ica.,1,2025-04-10,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-defensoria-del-pueblo-derecho-abril-2025-478022.html,2025-03-31 07:01:49,0,1,240,2025-03-31 07:01:52,240,DERECHO,2025-03-31 06:52:27,1,ICA,2025-03-31 07:01:40,1,DEFENSORIA DEL PUEBLO,2025-03-31 07:01:45
1,2,473123,Practicante de Psicología,,,Egresado o Bachiller (no titulado),2,,"Excel intermedio - avanzado.
Técnicas de reclutamiento y selección.
Manejo de Plataformas ATS.
Gestión de documentación masiva.",,,Presencial - San Borja -Lima,2,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-banco-nacion-psicologia-marzo-2025-473123.html,2025-03-31 07:02:06,0,2,329,2025-03-31 07:02:09,329,PSICOLOGÍA,2025-03-31 06:52:27,2,LIMA,2025-03-31 07:01:57,2,BANCO DE LA NACIÓN,2025-03-31 07:02:01
2,3,472737,"Practicante de Administración, Contabilidad, Ingenieria Administrativa",2.0,PRE-PROFESIONAL,"Estudiante universitario de las carreras de Administración, Contabilidad, Ingenieria Administrativa, Administración Pública",3,,,1130.0,"Apoyar al seguimiento de cotizaciones a los diversos proveedores para la atención de requerimientos.
Proyectar documentos que indiquen el supervisor o coordinador del área.
Apoyar en la revisión de los informes solicitados por las áreas funcionales de la APN.
Apoyar en la elaboración de actas y acuerdos realizados en las reuniones.
Otras actividades formativas asignadas por el Supervisor designado.","Av. Santa Rosa 135, La Perla, Callao.",3,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-autoridad-portuaria-apn-administracion-contabilidad-marzo-2025-472737.html,2025-03-31 07:02:23,0,3,429,2025-03-31 07:02:25,429,ADMINISTRACIÓN,2025-03-31 06:52:27,3,CALLAO,2025-03-31 07:02:13,3,AUTORIDAD PORTUARIA(APN),2025-03-31 07:02:18
3,3,472737,"Practicante de Administración, Contabilidad, Ingenieria Administrativa",2.0,PRE-PROFESIONAL,"Estudiante universitario de las carreras de Administración, Contabilidad, Ingenieria Administrativa, Administración Pública",3,,,1130.0,"Apoyar al seguimiento de cotizaciones a los diversos proveedores para la atención de requerimientos.
Proyectar documentos que indiquen el supervisor o coordinador del área.
Apoyar en la revisión de los informes solicitados por las áreas funcionales de la APN.
Apoyar en la elaboración de actas y acuerdos realizados en las reuniones.
Otras actividades formativas asignadas por el Supervisor designado.","Av. Santa Rosa 135, La Perla, Callao.",3,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-autoridad-portuaria-apn-administracion-contabilidad-marzo-2025-472737.html,2025-03-31 07:02:23,0,3,266,2025-03-31 07:02:25,266,ADMINISTRACIÓN PÚBLICA,2025-03-31 06:52:27,3,CALLAO,2025-03-31 07:02:13,3,AUTORIDAD PORTUARIA(APN),2025-03-31 07:02:18
4,3,472737,"Practicante de Administración, Contabilidad, Ingenieria Administrativa",2.0,PRE-PROFESIONAL,"Estudiante universitario de las carreras de Administración, Contabilidad, Ingenieria Administrativa, Administración Pública",3,,,1130.0,"Apoyar al seguimiento de cotizaciones a los diversos proveedores para la atención de requerimientos.
Proyectar documentos que indiquen el supervisor o coordinador del área.
Apoyar en la revisión de los informes solicitados por las áreas funcionales de la APN.
Apoyar en la elaboración de actas y acuerdos realizados en las reuniones.
Otras actividades formativas asignadas por el Supervisor designado.","Av. Santa Rosa 135, La Perla, Callao.",3,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-autoridad-portuaria-apn-administracion-contabilidad-marzo-2025-472737.html,2025-03-31 07:02:23,0,3,230,2025-03-31 07:02:25,230,CONTABILIDAD,2025-03-31 06:52:27,3,CALLAO,2025-03-31 07:02:13,3,AUTORIDAD PORTUARIA(APN),2025-03-31 07:02:18
5,3,472737,"Practicante de Administración, Contabilidad, Ingenieria Administrativa",2.0,PRE-PROFESIONAL,"Estudiante universitario de las carreras de Administración, Contabilidad, Ingenieria Administrativa, Administración Pública",3,,,1130.0,"Apoyar al seguimiento de cotizaciones a los diversos proveedores para la atención de requerimientos.
Proyectar documentos que indiquen el supervisor o coordinador del área.
Apoyar en la revisión de los informes solicitados por las áreas funcionales de la APN.
Apoyar en la elaboración de actas y acuerdos realizados en las reuniones.
Otras actividades formativas asignadas por el Supervisor designado.","Av. Santa Rosa 135, La Perla, Callao.",3,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-autoridad-portuaria-apn-administracion-contabilidad-marzo-2025-472737.html,2025-03-31 07:02:23,0,3,201,2025-03-31 07:02:26,201,INGENIERÍA ADMINISTRATIVA,2025-03-31 06:52:27,3,CALLAO,2025-03-31 07:02:13,3,AUTORIDAD PORTUARIA(APN),2025-03-31 07:02:18
6,4,472498,"Practicante de Administración, Contabilidad, Economía, Derecho",1.0,PROFESIONAL,Egresado Universitario en Administración y/o Contabilidad y/o Economía y/o Derecho,4,,,1130.0,"Apoyar en la revisión y evaluación de expedientes administrativos.
Apoyar en la verificación de la información para la elaboración de proyectos de informes y memorándums.
Apoyar en la revisión de expedientes para trámite de pago.
Apoyar con la revisión de los expedientes de los contratos para envió al archivo central.
Otras actividades que le encargue su supervisor de prácticas.",Sede Central de PROVIAS NACIONAL,2,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-provias-nacional-administracion-contabilidad-economia-derecho-marzo-2025-472498.html,2025-03-31 07:02:37,0,4,429,2025-03-31 07:02:40,429,ADMINISTRACIÓN,2025-03-31 06:52:27,2,LIMA,2025-03-31 07:01:57,4,PROVIAS NACIONAL,2025-03-31 07:02:33
7,4,472498,"Practicante de Administración, Contabilidad, Economía, Derecho",1.0,PROFESIONAL,Egresado Universitario en Administración y/o Contabilidad y/o Economía y/o Derecho,4,,,1130.0,"Apoyar en la revisión y evaluación de expedientes administrativos.
Apoyar en la verificación de la información para la elaboración de proyectos de informes y memorándums.
Apoyar en la revisión de expedientes para trámite de pago.
Apoyar con la revisión de los expedientes de los contratos para envió al archivo central.
Otras actividades que le encargue su supervisor de prácticas.",Sede Central de PROVIAS NACIONAL,2,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-provias-nacional-administracion-contabilidad-economia-derecho-marzo-2025-472498.html,2025-03-31 07:02:37,0,4,230,2025-03-31 07:02:40,230,CONTABILIDAD,2025-03-31 06:52:27,2,LIMA,2025-03-31 07:01:57,4,PROVIAS NACIONAL,2025-03-31 07:02:33
8,4,472498,"Practicante de Administración, Contabilidad, Economía, Derecho",1.0,PROFESIONAL,Egresado Universitario en Administración y/o Contabilidad y/o Economía y/o Derecho,4,,,1130.0,"Apoyar en la revisión y evaluación de expedientes administrativos.
Apoyar en la verificación de la información para la elaboración de proyectos de informes y memorándums.
Apoyar en la revisión de expedientes para trámite de pago.
Apoyar con la revisión de los expedientes de los contratos para envió al archivo central.
Otras actividades que le encargue su supervisor de prácticas.",Sede Central de PROVIAS NACIONAL,2,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-provias-nacional-administracion-contabilidad-economia-derecho-marzo-2025-472498.html,2025-03-31 07:02:37,0,4,240,2025-03-31 07:02:40,240,DERECHO,2025-03-31 06:52:27,2,LIMA,2025-03-31 07:01:57,4,PROVIAS NACIONAL,2025-03-31 07:02:33
9,4,472498,"Practicante de Administración, Contabilidad, Economía, Derecho",1.0,PROFESIONAL,Egresado Universitario en Administración y/o Contabilidad y/o Economía y/o Derecho,4,,,1130.0,"Apoyar en la revisión y evaluación de expedientes administrativos.
Apoyar en la verificación de la información para la elaboración de proyectos de informes y memorándums.
Apoyar en la revisión de expedientes para trámite de pago.
Apoyar con la revisión de los expedientes de los contratos para envió al archivo central.
Otras actividades que le encargue su supervisor de prácticas.",Sede Central de PROVIAS NACIONAL,2,2025-03-31,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-practicas-provias-nacional-administracion-contabilidad-economia-derecho-marzo-2025-472498.html,2025-03-31 07:02:37,0,4,252,2025-03-31 07:02:40,252,ECONOMÍA,2025-03-31 06:52:27,2,LIMA,2025-03-31 07:01:57,4,PROVIAS NACIONAL,2025-03-31 07:02:33
